noc_code_2016,soc_code,noc_code
0011,11-1031,00010
0012,11-1011,00011
0013,11-1011,00012
0014,11-1011,00013
0014,11-1021,00013
0014,11-9111,00013
0015,11-1011,00014
0015,11-1021,00014
0016,11-1011,00015
0111,11-3031,10010
0112,11-3111,10011
0112,11-3121,10011
0112,11-3131,10011
0113,11-3061,10012
0114,11-3012,10019
0114,11-9111,10019
0121,11-3031,10020
0121,11-9141,10020
0121,41-9021,10020
0122,11-3031,10021
0124,11-2011,10022
0124,11-2021,10022
0124,11-2032,10022
0124,11-2033,10022
0125,11-9199,10029
0131,11-1021,10030
0132,11-3012,70021
0132,11-9131,70021
0211,11-9041,20010
0212,11-9041,20011
0212,11-9121,20011
0212,19-3051,20011
0213,11-3021,20012
0213,13-1082,20012
0311,11-9111,30010
0411,11-3012,40010
0412,11-3012,40011
0413,11-3012,40012
0414,11-1021,40019
0414,11-3012,40019
0414,11-9161,40019
0421,11-3012,40020
0421,11-9033,40020
0421,11-9039,40020
0422,11-1011,40021
0422,11-9032,40021
0423,11-9031,40030
0423,11-9151,40030
0423,21-2021,40030
0431,11-1021,40040
0431,33-1012,40040
0432,11-1021,40041
0432,33-2021,40041
0433,11-1021,10012
0433,55-1011,10012
0433,55-1012,10012
0433,55-1013,10012
0433,55-1014,10012
0433,55-1015,10012
0433,55-1016,10012
0433,55-1017,10012
0433,55-1019,10012
0511,11-1021,50010
0512,11-1021,50011
0513,11-9071,50012
0513,11-9072,50012
0601,11-2022,60010
0621,11-1021,60020
0621,11-2022,60020
0621,41-1011,60020
0631,11-9051,60030
0632,11-9072,60031
0632,11-9081,60031
0632,11-9111,60031
0632,39-9041,60031
0651,11-9179,60040
0711,11-9021,70010
0711,13-1082,70010
0712,11-9021,70011
0714,11-3013,70012
0714,11-3071,70012
0714,11-9072,70012
0731,11-3071,70020
0811,11-1021,80010
0811,11-9013,80010
0821,11-9013,80020
0821,45-2021,80020
0822,11-9013,80021
0823,11-9013,80022
0911,11-3051,90010
0911,13-1081,90010
0912,11-1021,90011
0912,11-3051,90011
1111,13-2011,11100
1112,13-2051,11101
1112,13-2054,11101
1113,41-3031,11103
1114,13-2052,11100
1114,13-2061,11100
1114,13-2072,11100
1114,13-2099,11100
1121,13-1041,11200
1121,13-1075,11200
1121,13-1141,11200
1121,13-1151,11200
1121,23-1022,11200
1122,13-1111,11201
1123,13-1011,10022
1123,13-1131,10022
1123,13-1161,10022
1123,27-3031,10022
1123,41-3011,10022
1211,43-1011,12010
1212,43-1011,12011
1213,43-1011,12012
1214,43-1011,72025
1215,43-1011,12013
1215,53-1041,12013
1215,53-1042,12013
1215,53-1043,12013
1221,11-3012,13100
1221,13-2031,13100
1221,25-9044,13100
1221,43-1011,13100
1221,43-6011,13100
1222,43-6011,12100
1223,13-1071,12101
1223,13-1074,12101
1224,11-9141,13101
1224,41-9022,13101
1225,13-1021,12102
1225,13-1023,12102
1226,13-1121,12103
1227,23-1021,10019
1227,43-4031,10019
1228,13-2081,12104
1228,23-1021,12104
1228,33-3051,12104
1228,43-4061,12104
1241,43-6014,13110
1242,43-6012,13111
1243,31-9094,13112
1243,43-6013,13112
1251,27-3092,12110
1251,31-9094,12110
1251,43-9199,12110
1252,29-2072,12111
1252,29-9021,12111
1253,43-4071,12111
1254,19-4061,12113
1254,43-9111,12113
1311,43-3031,12200
1312,13-1031,12201
1312,13-1032,12201
1313,13-2053,12202
1314,13-2022,12203
1314,13-2023,12203
1315,13-1199,13200
1411,43-4071,14100
1411,43-4199,14100
1411,43-9022,14100
1411,43-9061,14100
1411,43-9071,14100
1411,43-9199,14100
1414,43-2011,14101
1414,43-2021,14101
1414,43-2099,14101
1414,43-4171,14101
1415,43-4161,14102
1416,23-1012,14103
1416,43-4031,14103
1422,43-9021,14111
1423,43-9031,14112
1423,51-5111,14112
1431,13-2082,14200
1431,43-3021,14200
1431,43-3031,14200
1432,43-3051,13102
1434,43-3021,14201
1434,43-3099,14201
1434,43-4011,14201
1434,43-4041,14201
1434,43-4131,14201
1434,43-9041,14201
1435,43-3011,14202
1451,43-4121,14300
1452,43-4021,14301
1452,43-4031,14301
1452,43-9081,14301
1454,43-4111,14110
1454,43-5041,14110
1454,43-9111,14110
1511,43-5051,64401
1511,43-5053,64401
1511,43-9051,64401
1512,43-5052,74101
1513,41-9091,74102
1513,43-5021,74102
1521,43-5071,14400
1522,41-2022,14401
1522,53-7065,14401
1523,43-5061,13201
1524,43-3061,14403
1524,43-5071,14403
1525,43-5031,13201
1525,43-5032,13201
1526,43-5032,14405
2111,19-1021,21100
2111,19-2011,21100
2111,19-2012,21100
2111,19-2021,21100
2112,19-1021,21101
2112,19-2021,21101
2112,19-2031,21101
2113,19-2042,21102
2113,19-2043,21102
2114,19-2021,21103
2115,19-1013,21109
2115,19-2032,21109
2115,19-2099,21109
2121,19-1011,21110
2121,19-1012,21110
2121,19-1013,21110
2121,19-1022,21110
2121,19-1023,21110
2121,19-1029,21110
2121,19-2041,21110
2122,19-1032,21111
2123,19-1031,21112
2123,25-9021,21112
2131,17-2051,21300
2131,17-2081,21300
2132,17-2141,21301
2132,17-2161,21301
2133,17-2071,21310
2133,17-2072,21310
2134,17-2031,21320
2134,17-2041,21320
2141,17-2111,21321
2141,17-2112,21321
2142,17-2131,21322
2143,17-2151,21330
2144,17-2151,21331
2145,17-2171,21332
2146,17-2011,21390
2147,15-1241,21311
